,Title,Release Date,Color,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,Score,Total Reviews,Duration,Gross Revenue,Budget,Z_Score,Softmax_Score
2945,Wild Target,23-05-2010,Color,Action,English,UK,PG-13,Rupert Grint,Jonathan Lynn,10000.0,11770,36,0,6.9,68.0,98.0,117190,8000000,0.6883116883116883,0.00026224343641975407
2946,Winter's Bone,08-01-2010,Color,Drama,English,USA,R,Jennifer Lawrence,Debra Granik,34000.0,34446,81,20000,7.2,365.0,100.0,6531491,2000000,0.7272727272727271,0.00035399161238020254
2947,Yogi Bear,27-11-2010,Color,Adventure,English,USA,PG,Justin Timberlake,Eric Brevig,3000.0,4394,40,0,4.6,143.0,80.0,100169068,80000000,0.3896103896103895,2.6292223709339124e-05
2948,You Again,08-10-2010,Color,Comedy,English,USA,PG,Jamie Lee Curtis,Andy Fickman,2000.0,4813,99,0,5.8,91.0,105.0,25677801,20000000,0.5454545454545453,8.729325687375192e-05
2949,You Will Meet a Tall Dark Stranger,18-06-2010,Color,Comedy,English,USA,R,Anthony Hopkins,Woody Allen,12000.0,19310,11000,0,6.3,223.0,98.0,3247816,22000000,0.6103896103896103,0.00014392224939644498
2950,1911,11-11-2011,Color,Action,Mandarin,China,R,Bingbing Li,Li Zhang,974.0,1887,0,0,6.0,63.0,121.0,127437,18000000,0.5714285714285714,0.00010662022471438481
2951,30 Minutes or Less,01-10-2011,Color,Action,English,Germany,R,Bianca Kajlich,Ruben Fleischer,731.0,1987,181,0,6.1,220.0,83.0,37053924,28000000,0.5844155844155844,0.00011783357163302848
2952,5 Days of War,24-11-2011,Color,Action,English,Georgia,R,Richard Coyle,Renny Harlin,567.0,708,212,0,5.6,74.0,113.0,17149,20000000,0.5194805194805193,7.14696739388766e-05
2953,50/50,23-04-2011,Color,Comedy,English,USA,R,Joseph Gordon-Levitt,Jonathan Levine,23000.0,39807,129,40000,7.7,327.0,100.0,34963967,8000000,0.792207792207792,0.0005836335009806748
2954,A Better Life,19-09-2011,Color,Drama,English,USA,PG-13,DemiÃ¡n Bichir,Chris Weitz,749.0,2214,129,0,7.2,94.0,98.0,1754319,10000000,0.7272727272727271,0.00035399161238020254
2955,A Dangerous Method,28-05-2011,Color,Biography,English,UK,R,Michael Fassbender,David Cronenberg,13000.0,23755,0,36000,6.5,345.0,99.0,5702083,15000000,0.6363636363636364,0.00017578703237343372
2956,A Separation,14-07-2011,Color,Drama,Persian,Iran,PG-13,Shahab Hosseini,Asghar Farhadi,786.0,2501,0,48000,8.4,354.0,123.0,7098492,500000,0.8831168831168831,0.001175293542770307
2957,A Very Harold & Kumar 3D Christmas,14-01-2011,Color,Adventure,English,USA,R,Patton Oswalt,Todd Strauss-Schulson,786.0,2462,12,21000,6.3,161.0,90.0,35033759,19000000,0.6103896103896103,0.00014392224939644498
2958,Abduction,09-04-2011,Color,Action,English,USA,PG-13,Ken Arnold,John Singleton,327.0,561,309,13000,5.0,180.0,106.0,28064226,35000000,0.4415584415584415,3.922338868550149e-05
2959,Albert Nobbs,15-01-2011,Color,Drama,English,UK,R,Mia Wasikowska,Rodrigo GarcÃ­a,3000.0,4370,127,0,6.7,222.0,113.0,3014541,8000000,0.6623376623376622,0.00021470676618970307
2960,Alvin and the Chipmunks: Chipwrecked,29-08-2011,Color,Adventure,English,USA,G,Amy Poehler,Mike Mitchell,1000.0,4073,31,0,4.4,91.0,87.0,133103929,75000000,0.36363636363636365,2.1526252117642003e-05
2961,Anonymous,20-02-2011,Color,Drama,English,UK,PG-13,Vanessa Redgrave,Roland Emmerich,898.0,2452,776,15000,6.9,288.0,130.0,4463292,30000000,0.6883116883116883,0.00026224343641975407
2962,Another Earth,21-08-2011,Color,Drama,English,USA,PG-13,Robin Lord Taylor,Mike Cahill,574.0,1303,135,21000,7.0,242.0,92.0,1316074,100000,0.7012987012987012,0.0002898238193873322
2963,Apollo 18,18-08-2011,Color,Horror,English,USA,PG-13,Warren Christie,Gonzalo LÃ³pez-Gallego,520.0,1520,17,0,5.2,228.0,86.0,17683670,5000000,0.46753246753246747,4.7907555124859926e-05
2964,Arthur Christmas,06-08-2011,Color,Adventure,English,UK,PG,Jim Broadbent,Sarah Smith,1000.0,2707,6,0,7.1,190.0,97.0,46440491,100000000,0.7142857142857142,0.00032030485655248854
2965,Attack the Block,23-02-2011,Color,Action,English,UK,R,John Boyega,Joe Cornish,1000.0,2011,115,18000,6.6,399.0,88.0,1024175,13000000,0.6493506493506492,0.0001942747159539413
2966,Bad Teacher,02-11-2011,Color,Comedy,English,USA,R,Justin Timberlake,Jake Kasdan,3000.0,5547,52,16000,5.7,286.0,97.0,100292856,20000000,0.5324675324675323,7.89862051615955e-05
2967,Battle Los Angeles,05-02-2011,Color,Action,English,USA,PG-13,Noel Fisher,Jonathan Liebesman,833.0,4001,473,25000,5.8,355.0,116.0,83552429,70000000,0.5454545454545453,8.729325687375192e-05
2968,Beastly,06-03-2011,Color,Drama,English,USA,PG-13,Alex Pettyfer,Daniel Barnz,15000.0,17396,33,16000,5.6,148.0,86.0,27854896,17000000,0.5194805194805193,7.14696739388766e-05
2969,Bernie,29-01-2011,Color,Comedy,English,USA,PG-13,Matthew McConaughey,Richard Linklater,11000.0,11328,0,15000,6.8,231.0,99.0,9203192,5000000,0.6753246753246751,0.00023728767390692747
2970,"Big Mommas: Like Father, Like Son",28-07-2011,Color,Action,English,USA,PG-13,Brandon T. Jackson,John Whitesell,918.0,3500,14,0,4.4,88.0,113.0,37911876,32000000,0.36363636363636365,2.1526252117642003e-05
2971,Bridesmaids,30-10-2011,Color,Comedy,English,USA,R,Matt Lucas,Paul Feig,722.0,3229,176,27000,6.8,371.0,131.0,169076745,32500000,0.6753246753246751,0.00023728767390692747
2972,Bucky Larson: Born to Be a Star,03-07-2011,Color,Comedy,English,USA,R,Don Johnson,Tom Brady,982.0,2603,105,0,3.3,49.0,97.0,2331318,10000000,0.22077922077922071,7.1654668703575704e-06
2973,Captain America: The First Avenger,28-10-2011,Color,Action,English,USA,PG-13,Chris Evans,Joe Johnston,11000.0,19761,394,46000,6.9,510.0,124.0,176636816,140000000,0.6883116883116883,0.00026224343641975407
2974,Cars 2,27-05-2011,Color,Adventure,English,USA,G,Joe Mantegna,John Lasseter,1000.0,4482,487,10000,6.3,304.0,106.0,191450875,200000000,0.6103896103896103,0.00014392224939644498
2975,Colombiana,11-01-2011,Color,Action,English,France,PG-13,Jordi MollÃ ,Olivier Megaton,877.0,3432,118,15000,6.4,201.0,112.0,36665854,40000000,0.6233766233766234,0.00015905868449698146
2976,Contagion,09-11-2011,Color,Drama,English,USA,PG-13,Matt Damon,Steven Soderbergh,13000.0,13634,0,42000,6.6,436.0,106.0,75638743,60000000,0.6493506493506492,0.0001942747159539413
2977,Courageous,11-06-2011,Color,Drama,English,USA,PG-13,Ben Davies,Alex Kendrick,690.0,2300,589,10000,7.0,34.0,129.0,34522221,2000000,0.7012987012987012,0.0002898238193873322
2978,"Crazy, Stupid, Love.",12-05-2011,Color,Comedy,English,USA,PG-13,Ryan Gosling,Glenn Ficarra,33000.0,57426,43,44000,7.4,310.0,118.0,84244877,50000000,0.7532467532467533,0.0004323663317267452
2979,Diary of a Wimpy Kid: Rodrick Rules,17-11-2011,Color,Comedy,English,USA,PG,Zachary Gordon,David Bowers,975.0,3567,42,0,6.6,103.0,99.0,52691009,21000000,0.6493506493506492,0.0001942747159539413
2980,Dolphin Tale,26-03-2011,Color,Drama,English,USA,PG,Morgan Freeman,Charles Martin Smith,11000.0,14209,188,0,6.9,131.0,113.0,72279690,37000000,0.6883116883116883,0.00026224343641975407
2981,Dream House,18-02-2011,Color,Drama,English,USA,PG-13,Naomi Watts,Jim Sheridan,6000.0,8018,260,0,6.0,174.0,84.0,21283440,55000000,0.5714285714285714,0.00010662022471438481
2982,Drive,02-10-2011,Color,Crime,English,USA,R,Ryan Gosling,Nicolas Winding Refn,33000.0,34337,0,81000,7.8,676.0,100.0,35054909,15000000,0.805194805194805,0.0006450147720985165
2983,Drive Angry,13-09-2011,Color,Action,English,USA,R,Nicolas Cage,Patrick Lussier,12000.0,16481,71,15000,5.5,296.0,104.0,10706786,50000000,0.5064935064935064,6.466843523472504e-05
2984,Extremely Loud & Incredibly Close,27-07-2011,Color,Adventure,English,USA,PG-13,Tom Hanks,Stephen Daldry,15000.0,15595,335,39000,6.9,283.0,129.0,31836745,40000000,0.6883116883116883,0.00026224343641975407
2985,Fast Five,12-07-2011,Color,Action,English,USA,PG-13,Paul Walker,Justin Lin,23000.0,55345,681,54000,7.3,342.0,132.0,209805005,125000000,0.7402597402597401,0.0003912212352453071
2986,Final Destination 5,03-07-2011,Color,Horror,English,USA,R,Emma Bell,Steven Quale,703.0,3074,77,20000,5.9,277.0,92.0,42575718,40000000,0.5584415584415584,9.647396884097779e-05
2987,Fort McCoy,14-12-2011,Color,Drama,English,USA,R,Johnny Pacar,Kate Connor,1000.0,4374,27,348,5.9,8.0,100.0,73678,3000000,0.5584415584415584,9.647396884097779e-05
2988,Friends with Benefits,07-12-2011,Color,Comedy,English,USA,R,Mila Kunis,Will Gluck,15000.0,20956,87,41000,6.6,238.0,109.0,55802754,35000000,0.6493506493506492,0.0001942747159539413
2989,Fright Night,07-08-2011,Color,Comedy,English,USA,R,Grace Phipps,Craig Gillespie,596.0,1393,44,23000,6.4,358.0,106.0,18298649,30000000,0.6233766233766234,0.00015905868449698146
2990,Ghost Rider: Spirit of Vengeance,26-10-2011,Color,Action,English,USA,PG-13,Nicolas Cage,Mark Neveldine,12000.0,16121,83,18000,4.3,287.0,96.0,51774002,57000000,0.35064935064935054,1.947775838611829e-05
2991,Glee: The 3D Concert Movie,23-06-2011,Color,Documentary,English,USA,PG,Lea Michele,Kevin Tancharoen,2000.0,4617,64,0,5.4,67.0,84.0,11860839,9000000,0.49350649350649345,5.85144199662143e-05
2992,Go for It!,28-11-2011,Color,Drama,English,USA,PG-13,Jossara Jinaro,Carmen Marron,847.0,1668,29,566,3.9,8.0,105.0,178739,2450000,0.29870129870129863,1.305633189805387e-05
2993,Green Lantern,15-07-2011,Color,Action,English,USA,PG-13,Ryan Reynolds,Martin Campbell,16000.0,17657,258,24000,5.6,436.0,123.0,116593191,200000000,0.5194805194805193,7.14696739388766e-05
2994,Hall Pass,09-12-2011,Color,Comedy,English,USA,R,Jenna Fischer,Bobby Farrelly,966.0,3393,101,10000,5.9,237.0,111.0,45045037,36000000,0.5584415584415584,9.647396884097779e-05
2995,Hanna,13-06-2011,Color,Action,English,USA,PG-13,Jessica Barden,Joe Wright,157.0,257,456,38000,6.8,417.0,111.0,40247512,30000000,0.6753246753246751,0.00023728767390692747
2996,Happy Feet 2,14-08-2011,Color,Animation,English,Australia,PG,Robin Williams,George Miller,49000.0,62644,750,0,5.9,156.0,100.0,63992328,135000000,0.5584415584415584,9.647396884097779e-05
2997,Haywire,25-04-2011,Color,Action,English,Ireland,R,Channing Tatum,Steven Soderbergh,17000.0,31187,0,0,5.8,394.0,93.0,18934858,23000000,0.5454545454545453,8.729325687375192e-05
2998,Headhunters,25-10-2011,Color,Crime,Norwegian,Norway,R,Aksel Hennie,Morten Tyldum,286.0,385,77,23000,7.6,284.0,100.0,1196752,30300000,0.7792207792207791,0.0005280934301066412
2999,Hobo with a Shotgun,17-06-2011,Color,Action,English,Canada,Not Rated,Gregory Smith,Jason Eisener,694.0,1249,59,37000,6.1,272.0,86.0,703002,3000000,0.5844155844155844,0.00011783357163302848
3000,Hoodwinked Too! Hood vs. Evil,06-01-2011,Color,Animation,English,USA,PG,Amy Poehler,Mike Disa,1000.0,5393,6,0,4.8,77.0,86.0,10134754,30000000,0.4155844155844155,3.211339455675102e-05
3001,Hop,04-09-2011,Color,Adventure,English,USA,PG,Gary Cole,Tim Hill,989.0,2558,25,0,5.5,156.0,95.0,108012170,63000000,0.5064935064935064,6.466843523472504e-05
3002,Horrible Bosses,12-03-2011,Color,Comedy,English,USA,R,Kevin Spacey,Seth Gordon,18000.0,18669,91,31000,6.9,340.0,106.0,117528646,35000000,0.6883116883116883,0.00026224343641975407
3003,Hugo,14-06-2011,Color,Adventure,English,USA,PG,ChloÃ« Grace Moretz,Martin Scorsese,17000.0,36017,17000,42000,7.5,682.0,126.0,73820094,170000000,0.7662337662337662,0.0004778386957794468
3004,I Am Number Four,01-12-2011,Color,Action,English,USA,PG-13,Alex Pettyfer,D.J. Caruso,15000.0,15608,154,27000,6.1,288.0,109.0,55092830,60000000,0.5844155844155844,0.00011783357163302848
3005,I Don't Know How She Does It,03-07-2011,Color,Comedy,English,USA,PG-13,Olivia Munn,Douglas McGrath,2000.0,5470,41,0,4.9,169.0,89.0,9639242,24000000,0.42857142857142855,3.549078974481005e-05
3006,Immortals,23-11-2011,Color,Action,English,USA,R,Henry Cavill,Tarsem Singh,15000.0,16691,763,30000,6.1,284.0,110.0,83503161,75000000,0.5844155844155844,0.00011783357163302848
3007,In the Land of Blood and Honey,23-11-2011,Color,Drama,Bosnian,USA,R,Jelena Jovanova,Angelina Jolie Pitt,306.0,796,11000,0,4.3,110.0,127.0,301305,13000000,0.35064935064935054,1.947775838611829e-05
3008,In Time,10-08-2011,Color,Action,English,USA,PG-13,Matt Bomer,Andrew Niccol,20000.0,34011,487,52000,6.7,360.0,109.0,37553932,40000000,0.6623376623376622,0.00021470676618970307
3009,J. Edgar,27-02-2011,Color,Biography,English,USA,R,Leonardo DiCaprio,Clint Eastwood,29000.0,36258,16000,16000,6.6,392.0,137.0,37304950,35000000,0.6493506493506492,0.0001942747159539413
3010,Jack and Jill,29-09-2011,Color,Comedy,English,USA,PG,Al Pacino,Dennis Dugan,14000.0,27405,221,0,3.4,156.0,91.0,74158157,79000000,0.2337662337662337,7.919065599553714e-06
3011,"Jeff, Who Lives at Home",30-05-2011,Color,Comedy,English,USA,R,Judy Greer,Jay Duplass,2000.0,3374,157,0,6.5,182.0,83.0,4244155,10000000,0.6363636363636364,0.00017578703237343372
3012,Johnny English Reborn,28-06-2011,Color,Action,English,USA,PG,Daniel Kaluuya,Oliver Parker,219.0,661,32,17000,6.3,152.0,101.0,8129455,45000000,0.6103896103896103,0.00014392224939644498
3013,Jumping the Broom,22-10-2011,Color,Comedy,English,USA,PG-13,Gary Dourdan,Salim Akil,1000.0,5959,70,0,5.7,52.0,112.0,37295394,6600000,0.5324675324675323,7.89862051615955e-05
3014,Just Go with It,08-02-2011,Color,Comedy,English,USA,PG-13,Adam Sandler,Dennis Dugan,11000.0,16325,221,19000,6.4,204.0,117.0,103028109,80000000,0.6233766233766234,0.00015905868449698146
3015,Justin Bieber: Never Say Never,09-09-2011,Color,Documentary,English,USA,G,Usher Raymond,Jon M. Chu,569.0,714,209,62000,1.6,84.0,115.0,73000942,13000000,0.0,1.3090127393600407e-06
3016,Kill List,11-06-2011,Color,Crime,English,UK,Not Rated,MyAnna Buring,Ben Wheatley,513.0,1269,214,0,6.3,255.0,95.0,26297,500000,0.6103896103896103,0.00014392224939644498
3017,Killer Elite,25-08-2011,Color,Action,English,UK,R,Jason Statham,Gary McKendry,26000.0,49608,5,17000,6.5,189.0,116.0,25093607,35000000,0.6363636363636364,0.00017578703237343372
3018,Killer Joe,26-03-2011,Color,Crime,English,USA,R,Matthew McConaughey,William Friedkin,11000.0,11853,607,12000,6.7,376.0,98.0,1987762,11000000,0.6623376623376622,0.00021470676618970307
3019,Kung Fu Panda 2,09-04-2011,Color,Action,English,USA,PG,Angelina Jolie Pitt,Jennifer Yuh Nelson,11000.0,21015,90,20000,7.3,284.0,90.0,165230261,150000000,0.7402597402597401,0.0003912212352453071
3020,L!fe Happens,09-10-2011,Color,Comedy,English,USA,R,Justin Kirk,Kat Coiro,945.0,2924,28,995,5.7,18.0,100.0,20186,930000,0.5324675324675323,7.89862051615955e-05
3021,Larry Crowne,02-02-2011,Color,Comedy,English,USA,PG-13,Tom Hanks,Tom Hanks,15000.0,16827,15000,0,6.1,218.0,98.0,35565975,30000000,0.5844155844155844,0.00011783357163302848
3022,Le Havre,04-06-2011,Color,Comedy,French,Finland,Not Rated,Jean-Pierre LÃ©aud,Aki KaurismÃ¤ki,232.0,391,592,0,7.2,205.0,93.0,611709,3850000,0.7272727272727271,0.00035399161238020254
3023,Like Crazy,22-12-2011,Color,Drama,English,USA,PG-13,Jennifer Lawrence,Drake Doremus,34000.0,34983,52,12000,6.7,206.0,90.0,3388210,250000,0.6623376623376622,0.00021470676618970307
3024,Machine Gun Preacher,10-01-2011,Color,Action,English,USA,R,Gerard Butler,Marc Forster,18000.0,19620,395,21000,6.8,134.0,129.0,537580,30000000,0.6753246753246751,0.00023728767390692747
3025,Margaret,20-08-2011,Color,Drama,English,USA,R,Matt Damon,Kenneth Lonergan,13000.0,14638,50,0,6.5,116.0,186.0,46495,14000000,0.6363636363636364,0.00017578703237343372
3026,Margin Call,14-09-2011,Color,Biography,English,USA,R,Kevin Spacey,J.C. Chandor,18000.0,22834,78,21000,7.1,290.0,107.0,5354039,3500000,0.7142857142857142,0.00032030485655248854
3027,Mars Needs Moms,15-06-2011,Color,Action,English,USA,PG,Elisabeth Harnois,Simon Wells,921.0,2652,25,0,5.4,132.0,88.0,21379315,150000000,0.49350649350649345,5.85144199662143e-05
3028,Melancholia,25-08-2011,Color,Drama,English,Denmark,R,Alexander SkarsgÃ¥rd,Lars von Trier,10000.0,15835,3000,50000,7.1,439.0,130.0,3029870,7400000,0.7142857142857142,0.00032030485655248854
3029,Midnight in Paris,11-12-2011,Color,Comedy,English,Spain,PG-13,Kurt Fuller,Woody Allen,617.0,1289,11000,78000,7.7,487.0,94.0,56816662,17000000,0.792207792207792,0.0005836335009806748
3030,Mission: Impossible - Ghost Protocol,20-07-2011,Color,Action,English,USA,PG-13,Tom Cruise,Brad Bird,10000.0,21768,663,35000,7.4,432.0,133.0,209364921,145000000,0.7532467532467533,0.0004323663317267452
3031,Moneyball,14-10-2011,Color,Biography,English,USA,PG-13,Philip Seymour Hoffman,Bennett Miller,22000.0,53094,152,27000,7.6,419.0,133.0,75605492,50000000,0.7792207792207791,0.0005280934301066412
3032,Monte Carlo,22-03-2011,Color,Adventure,English,Hungary,PG,Leighton Meester,Thomas Bezucha,3000.0,4257,15,6000,5.8,94.0,109.0,23179303,20000000,0.5454545454545453,8.729325687375192e-05
3033,Mr. Popper's Penguins,21-03-2011,Color,Comedy,English,USA,PG,Madeline Carroll,Mark Waters,1000.0,2820,70,14000,6.0,189.0,94.0,68218041,55000000,0.5714285714285714,0.00010662022471438481
3034,My Week with Marilyn,23-04-2011,Color,Biography,English,UK,R,Eddie Redmayne,Simon Curtis,13000.0,17204,64,17000,7.0,386.0,99.0,14597405,6400000,0.7012987012987012,0.0002898238193873322
3035,New Year's Eve,10-06-2011,Color,Comedy,English,USA,PG-13,Robert De Niro,Garry Marshall,22000.0,23456,0,20000,5.7,200.0,113.0,54540525,56000000,0.5324675324675323,7.89862051615955e-05
3036,Newlyweds,26-10-2011,Color,Comedy,English,USA,Not Rated,Kerry BishÃ©,Edward Burns,296.0,690,0,413,6.4,14.0,95.0,4584,9000,0.6233766233766234,0.00015905868449698146
3037,No Strings Attached,26-10-2011,Color,Comedy,English,USA,R,Natalie Portman,Ivan Reitman,20000.0,22739,425,24000,6.2,245.0,108.0,70625986,25000000,0.5974025974025973,0.00013022623654180673
3038,One Day,11-07-2011,Color,Drama,English,USA,PG-13,Anne Hathaway,Lone Scherfig,11000.0,17627,92,49000,7.0,221.0,107.0,13766014,15000000,0.7012987012987012,0.0002898238193873322
3039,Our Idiot Brother,08-06-2011,Color,Comedy,English,USA,R,Zooey Deschanel,Jesse Peretz,11000.0,15710,37,11000,6.4,179.0,90.0,24809547,5000000,0.6233766233766234,0.00015905868449698146
3040,Paranormal Activity 3,04-09-2011,Color,Horror,English,USA,R,Johanna Braddy,Henry Joost,581.0,2371,24,24000,5.8,251.0,94.0,104007828,5000000,0.5454545454545453,8.729325687375192e-05
3041,Paul,16-01-2011,Color,Adventure,English,USA,R,Bobby Lee,Greg Mottola,176.0,390,99,42000,7.0,342.0,109.0,37371385,40000000,0.7012987012987012,0.0002898238193873322
3043,Pirates of the Caribbean: On Stranger Tides,18-11-2011,Color,Action,English,USA,PG-13,Johnny Depp,Rob Marshall,40000.0,54083,252,58000,6.7,448.0,136.0,241063875,250000000,0.6623376623376622,0.00021470676618970307
3044,Priest,29-03-2011,Color,Action,English,USA,PG-13,Josh Wingate,Scott Stewart,865.0,1417,124,20000,5.7,225.0,87.0,29136626,60000000,0.5324675324675323,7.89862051615955e-05
3045,Prom,07-07-2011,Color,Comedy,English,USA,PG,Cameron Monaghan,Joe Nussbaum,1000.0,5190,18,0,5.4,83.0,104.0,10106233,8000000,0.49350649350649345,5.85144199662143e-05
3046,Puss in Boots,30-01-2011,Color,Action,English,USA,PG,Salma Hayek,Chris Miller,4000.0,5046,50,16000,6.7,246.0,90.0,149234747,130000000,0.6623376623376622,0.00021470676618970307
3047,Rango,11-09-2011,Color,Adventure,English,USA,PG,Johnny Depp,Gore Verbinski,40000.0,43291,563,26000,7.2,362.0,107.0,123207194,135000000,0.7272727272727271,0.00035399161238020254
3048,Real Steel,03-12-2011,Color,Action,English,USA,PG-13,Hugh Jackman,Shawn Levy,20000.0,22254,189,36000,7.1,327.0,127.0,85463309,110000000,0.7142857142857142,0.00032030485655248854
3049,Red Riding Hood,17-04-2011,Color,Fantasy,English,USA,PG-13,Gary Oldman,Catherine Hardwicke,10000.0,15369,308,20000,5.4,291.0,100.0,37652565,42000000,0.49350649350649345,5.85144199662143e-05
3050,Rio,10-05-2011,Color,Adventure,English,USA,G,Anne Hathaway,Carlos Saldanha,11000.0,12071,107,19000,7.0,240.0,96.0,143618384,90000000,0.7012987012987012,0.0002898238193873322
3051,Rise of the Planet of the Apes,03-12-2011,Color,Action,English,USA,PG-13,James Franco,Rupert Wyatt,11000.0,13118,81,47000,7.6,529.0,105.0,176740650,93000000,0.7792207792207791,0.0005280934301066412
3052,Salvation Boulevard,26-12-2011,Color,Action,English,USA,R,Jim Gaffigan,George Ratliff,472.0,561,3,1000,5.3,48.0,96.0,27445,9000000,0.4805194805194804,5.2946036680101127e-05
3053,Samsara,17-12-2011,Color,Documentary,None,USA,PG-13,Collin Alfredo St. Dic,Ron Fricke,48.0,48,330,26000,8.5,115.0,102.0,2601847,4000000,0.8961038961038961,0.0012989002436718403
3054,Sanctum,15-04-2011,Color,Adventure,English,USA,R,Ioan Gruffudd,Alister Grierson,2000.0,3892,24,11000,5.9,244.0,108.0,23070045,30000000,0.5584415584415584,9.647396884097779e-05
3055,Scream 4,13-02-2011,Color,Horror,English,USA,R,Alison Brie,Wes Craven,2000.0,4486,0,26000,6.2,420.0,111.0,38176892,40000000,0.5974025974025973,0.00013022623654180673
3056,Shame,30-11-2011,Color,Drama,English,UK,NC-17,Michael Fassbender,Steve McQueen,13000.0,15230,0,23000,7.3,486.0,101.0,4000304,6500000,0.7402597402597401,0.0003912212352453071
3057,Shark Night 3D,20-03-2011,Color,Horror,English,USA,PG-13,Chris Zylka,David R. Ellis,963.0,4952,160,0,4.0,231.0,90.0,18860403,25000000,0.3116883116883116,1.442947831047256e-05
3058,Sherlock Holmes: A Game of Shadows,27-01-2011,Color,Action,English,USA,PG-13,Robert Downey Jr.,Guy Ritchie,21000.0,22403,0,39000,7.5,382.0,129.0,186830669,125000000,0.7662337662337662,0.0004778386957794468
3059,Sholem Aleichem: Laughing in the Darkness,26-06-2011,Color,Documentary,English,USA,Unrated,Rachel Dratch,Joseph Dorman,399.0,660,0,287,6.8,29.0,93.0,906666,500000,0.6753246753246751,0.00023728767390692747
3060,Silent House,08-02-2011,Color,Drama,English,France,R,Eric Sheffer Stevens,Chris Kentis,120.0,218,9,0,5.3,218.0,86.0,12555230,2000000,0.4805194805194804,5.2946036680101127e-05
3061,Snow Flower and the Secret Fan,10-01-2011,Color,Drama,English,China,PG-13,Bingbing Li,Wayne Wang,974.0,2430,61,0,6.1,56.0,104.0,1346503,6000000,0.5844155844155844,0.00011783357163302848
3062,Something Borrowed,28-04-2011,Color,Comedy,English,USA,PG-13,Ashley Williams,Luke Greenfield,969.0,2371,42,13000,5.9,128.0,112.0,39026186,35000000,0.5584415584415584,9.647396884097779e-05
3063,Soul Surfer,20-05-2011,Color,Biography,English,USA,PG,Dennis Quaid,Sean McNamara,2000.0,5024,80,15000,7.1,110.0,106.0,43853424,18000000,0.7142857142857142,0.00032030485655248854
3064,Source Code,20-09-2011,Color,Mystery,English,USA,PG-13,Jake Gyllenhaal,Duncan Jones,15000.0,16034,0,56000,7.5,522.0,93.0,54696902,32000000,0.7662337662337662,0.0004778386957794468
3065,Spy Kids: All the Time in the World in 4D,30-11-2011,Color,Action,English,USA,PG,Alexa PenaVega,Robert Rodriguez,2000.0,4311,0,0,3.6,76.0,89.0,38536376,27000000,0.2597402597402597,9.672368565346227e-06
3066,Straw Dogs,01-12-2011,Color,Action,English,USA,R,Alexander SkarsgÃ¥rd,Rod Lurie,10000.0,11431,37,7000,5.8,190.0,110.0,10324441,25000000,0.5454545454545453,8.729325687375192e-05
3067,Sucker Punch,14-03-2011,Color,Action,English,USA,PG-13,Jon Hamm,Zack Snyder,4000.0,7067,0,42000,6.1,435.0,128.0,36381716,82000000,0.5844155844155844,0.00011783357163302848
3068,Super 8,18-08-2011,Color,Mystery,English,USA,PG-13,Joel Courtney,J.J. Abrams,1000.0,3388,14000,37000,7.1,539.0,112.0,126975169,50000000,0.7142857142857142,0.00032030485655248854
3069,Take Me Home Tonight,13-02-2011,Color,Comedy,English,USA,R,Topher Grace,Michael Dowse,2000.0,5519,31,0,6.3,136.0,97.0,6923891,23000000,0.6103896103896103,0.00014392224939644498
3070,Take Shelter,13-10-2011,Color,Drama,English,USA,R,Katy Mixon,Jeff Nichols,982.0,1520,337,14000,7.4,359.0,121.0,1729969,5000000,0.7532467532467533,0.0004323663317267452
3071,The Adjustment Bureau,09-09-2011,Color,Romance,English,USA,PG-13,Matt Damon,George Nolfi,13000.0,14607,53,36000,7.1,413.0,106.0,62453315,50200000,0.7142857142857142,0.00032030485655248854
3072,The Adventures of Tintin,28-08-2011,Color,Action,English,USA,PG,Toby Jones,Steven Spielberg,2000.0,4631,14000,44000,7.4,440.0,107.0,77564037,135000000,0.7532467532467533,0.0004323663317267452
3073,The Artist,05-02-2011,Black and White,Comedy,English,France,PG-13,BÃ©rÃ©nice Bejo,Michel Hazanavicius,996.0,4606,405,30000,8.0,576.0,100.0,44667095,15000000,0.8311688311688311,0.0007878228216951816
3074,The Beaver,03-02-2011,Color,Drama,English,USA,PG-13,Jennifer Lawrence,Jodie Foster,34000.0,34705,0,17000,6.7,276.0,91.0,958319,21000000,0.6623376623376622,0.00021470676618970307
3075,The Best Exotic Marigold Hotel,17-06-2011,Color,Comedy,English,UK,PG-13,Tom Wilkinson,John Madden,1000.0,1898,108,48000,7.3,264.0,124.0,46377022,10000000,0.7402597402597401,0.0003912212352453071
3076,The Big Year,20-01-2011,Color,Comedy,English,USA,PG,Joel McHale,David Frankel,734.0,2085,64,11000,6.2,108.0,100.0,7204138,41000000,0.5974025974025973,0.00013022623654180673
3077,The Change-Up,03-06-2011,Color,Comedy,English,USA,R,Ryan Reynolds,David Dobkin,16000.0,28045,71,13000,6.4,215.0,118.0,37035845,52000000,0.6233766233766234,0.00015905868449698146
3078,The Darkest Hour,14-11-2011,Color,Action,English,USA,PG-13,Max Minghella,Chris Gorak,614.0,843,21,0,4.9,195.0,89.0,21426805,30000000,0.42857142857142855,3.549078974481005e-05
